epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2342,1.76634,10.4369,0.68223,1.43805,1.67584,0.00227,0.05696,0.0012,0.00023,0,0,0,0,nan,nan,nan,nan,nan,0.07075,0.00325,0.00325
2,38.6731,1.56874,9.30602,0.6557,1.10508,1.51397,0.00109,0.02532,0.00038,6e-05,0,0,0,0,nan,nan,nan,nan,nan,0.0407065,0.00653988,0.00653988
3,54.5131,1.50924,8.89515,0.64239,1.02494,1.48227,0.04144,0.26582,0.05098,0.01726,0,0,0,0,3.28373,10.4716,0.86952,29.1534,6.14298,0.0106191,0.00978577,0.00978577
4,71.1208,1.47804,8.563,0.63084,0.98678,1.44907,0.09603,0.13924,0.03766,0.00992,0,0,0,0,3.5013,9.86992,0.62221,11.4629,5.23239,0.009802,0.009802,0.009802
5,88.1952,1.43638,8.26363,0.63041,0.93679,1.42137,0.44037,0.40839,0.38087,0.13809,0,0,0,0,2.57015,9.37939,0.66296,5.65542,3.43626,0.009736,0.009736,0.009736
6,103.566,1.38963,8.16437,0.61659,0.85725,1.36937,0.44687,0.42405,0.35411,0.11711,0,0,0,0,2.68315,8.75629,0.67064,3.26211,3.64608,0.00967,0.00967,0.00967
7,118.167,1.29562,7.88004,0.61474,0.7967,1.33106,0.52486,0.5,0.48811,0.19735,6e-05,0.00633,3e-05,0,2.30986,8.80901,0.77499,3.59158,3.04537,0.009604,0.009604,0.009604
8,133.503,1.26949,7.71128,0.59823,0.78561,1.31864,0.67936,0.51899,0.58886,0.25505,0.06367,0.01266,0.00339,0.00053,2.23997,8.33438,0.56458,2.51825,3.02653,0.009538,0.009538,0.009538
9,149.633,1.28889,7.63433,0.58227,0.78894,1.30708,0.35264,0.31646,0.24967,0.07399,0.00312,0.00633,6e-05,2e-05,2.90563,9.15256,0.64236,3.55416,3.86738,0.009472,0.009472,0.009472
10,165.757,1.24061,7.45735,0.58787,0.76038,1.29689,0.52863,0.51899,0.52892,0.21417,0.0146,0.00633,0.00018,2e-05,2.2287,8.4548,0.68143,2.28219,3.13153,0.009406,0.009406,0.009406
11,181.048,1.26978,7.42357,0.57753,0.77036,1.2842,0.59736,0.6962,0.62458,0.23685,0.01913,0.02532,0.00417,0.00042,2.23839,7.98012,0.61228,1.66504,3.02148,0.00934,0.00934,0.00934
12,196.167,1.20755,7.10327,0.56188,0.74236,1.26945,0.46983,0.6519,0.54427,0.21684,0.06588,0.05063,0.00725,0.00121,2.32234,7.85442,0.56319,1.93117,3.01908,0.009274,0.009274,0.009274
13,210.948,1.23083,7.08152,0.56079,0.72742,1.28334,0.69001,0.53797,0.56145,0.27563,0.03708,0.03797,0.00314,0.0005,2.09195,8.27479,0.68644,1.57927,2.87086,0.009208,0.009208,0.009208
14,226.369,1.22334,7.14034,0.55185,0.75899,1.27134,0.55251,0.71895,0.65203,0.29835,0.06377,0.03797,0.00698,0.00083,1.93619,7.74285,0.74121,1.64269,2.6767,0.009142,0.009142,0.009142
15,241.424,1.19551,6.9695,0.52972,0.70719,1.25277,0.50363,0.5,0.49863,0.18145,0.01633,0.01899,0.00108,0.00014,2.47182,8.22467,0.59955,1.82881,3.31262,0.009076,0.009076,0.009076
16,256.487,1.14412,6.89862,0.52416,0.68549,1.23475,0.43182,0.43038,0.36676,0.16393,0.02131,0.00633,0.00053,7e-05,2.38777,8.86723,0.81441,2.26461,3.29615,0.00901,0.00901,0.00901
17,271.633,1.1743,6.76191,0.51792,0.68958,1.25911,0.61534,0.62658,0.66011,0.29543,0.1072,0.05696,0.0211,0.00243,1.99719,7.96081,0.93378,1.46251,2.75627,0.008944,0.008944,0.008944
18,286.414,1.15308,6.70867,0.5049,0.68576,1.24268,0.60632,0.49367,0.56011,0.26624,0.09723,0.03797,0.012,0.00258,2.06006,7.80385,0.60856,1.63215,2.77488,0.008878,0.008878,0.008878
19,301.331,1.15362,6.66314,0.50856,0.70435,1.23808,0.62565,0.677,0.71374,0.37166,0.0845,0.06329,0.01739,0.00257,1.7655,7.38697,0.65547,1.27338,2.47186,0.008812,0.008812,0.008812
20,317.135,1.13961,6.56107,0.4977,0.6825,1.22956,0.71785,0.64557,0.67517,0.35943,0.11734,0.06329,0.02876,0.00309,1.83296,7.75357,0.71628,1.47391,2.58451,0.008746,0.008746,0.008746
21,331.949,1.10155,6.49188,0.48795,0.66159,1.22341,0.68157,0.63924,0.73243,0.3409,0.05331,0.03797,0.00754,0.00081,1.90052,7.92717,0.72532,1.45741,2.65154,0.00868,0.00868,0.00868
22,346.76,1.09701,6.47463,0.4924,0.65252,1.20452,0.76765,0.71519,0.74816,0.33002,0.09112,0.10127,0.01332,0.00194,1.97615,7.43143,0.70224,1.22715,2.7318,0.008614,0.008614,0.008614
23,361.728,1.07374,6.397,0.47551,0.63919,1.19811,0.69449,0.66183,0.72776,0.36905,0.14336,0.09494,0.03027,0.00371,1.80835,7.37198,0.62008,1.35289,2.59265,0.008548,0.008548,0.008548
24,376.726,1.12038,6.49119,0.48694,0.65291,1.21643,0.70407,0.69269,0.74239,0.35448,0.11897,0.05696,0.0122,0.0022,1.85295,7.44113,0.69208,1.48602,2.60222,0.008482,0.008482,0.008482
25,392.38,1.09052,6.34542,0.47481,0.64787,1.20153,0.75544,0.70383,0.77112,0.39324,0.09936,0.07595,0.01417,0.0027,1.75472,7.11111,0.58896,1.32891,2.4845,0.008416,0.008416,0.008416
26,407.493,1.05913,6.27104,0.47885,0.63966,1.19249,0.71652,0.77215,0.78336,0.38789,0.12572,0.09494,0.02163,0.00344,1.82416,7.45004,0.60552,1.15302,2.59617,0.00835,0.00835,0.00835
27,422.755,1.05857,6.21206,0.46562,0.63257,1.19721,0.69053,0.81646,0.76771,0.35093,0.07881,0.06329,0.01436,0.00257,1.85972,7.60655,0.68025,1.30352,2.61253,0.008284,0.008284,0.008284
28,438.136,1.0869,6.19919,0.46917,0.6271,1.19993,0.77562,0.8095,0.85196,0.41194,0.07167,0.07595,0.01514,0.00232,1.75095,7.23211,0.68508,1.07963,2.50567,0.008218,0.008218,0.008218
29,453.081,1.06327,6.22257,0.45566,0.61989,1.17242,0.77633,0.76887,0.84326,0.44498,0.11275,0.05873,0.01646,0.00321,1.55324,7.12202,0.57061,1.02241,2.28994,0.008152,0.008152,0.008152
30,468.296,1.04603,6.22347,0.45127,0.61382,1.18169,0.68595,0.77417,0.77263,0.38965,0.1478,0.12025,0.03377,0.00468,1.80663,7.10857,0.71572,1.15123,2.53047,0.008086,0.008086,0.008086
31,483.36,1.00431,5.95964,0.44256,0.59339,1.15383,0.83778,0.71519,0.82178,0.39271,0.125,0.11574,0.03808,0.00557,1.89813,7.33565,0.7091,1.14994,2.67797,0.00802,0.00802,0.00802
32,498.277,1.01514,5.98479,0.44169,0.60409,1.15524,0.76212,0.74051,0.81293,0.39699,0.22748,0.14537,0.07434,0.01395,1.76565,7.07178,0.80462,1.11832,2.5193,0.007954,0.007954,0.007954
33,513.828,1.01894,5.88216,0.44315,0.59488,1.16628,0.66438,0.79114,0.78656,0.39,0.18738,0.11392,0.05349,0.00714,1.78467,6.86136,0.61364,1.03886,2.62022,0.007888,0.007888,0.007888
34,529.164,1.00752,5.89765,0.43714,0.5894,1.14655,0.71384,0.75783,0.786,0.36734,0.19367,0.10127,0.04504,0.00706,1.88967,7.22901,0.7176,1.14504,2.70503,0.007822,0.007822,0.007822
35,543.998,1.02357,5.81934,0.4356,0.60623,1.16631,0.8005,0.8038,0.8663,0.44751,0.23747,0.22152,0.1206,0.01712,1.69573,6.77225,0.68715,0.93271,2.42963,0.007756,0.007756,0.007756
36,559.252,1.00514,5.90195,0.43199,0.59074,1.16345,0.65884,0.60127,0.67834,0.32353,0.2406,0.08228,0.06048,0.00936,1.86959,7.5682,0.77673,1.46768,2.63426,0.00769,0.00769,0.00769
37,574.364,0.99181,5.70969,0.42318,0.58466,1.14589,0.67937,0.83146,0.80718,0.42644,0.21049,0.12658,0.051,0.00727,1.70755,7.11191,0.74768,1.00705,2.47865,0.007624,0.007624,0.007624
38,589.595,0.99982,5.7915,0.42585,0.60437,1.16254,0.79089,0.71815,0.74388,0.39823,0.36741,0.15823,0.10872,0.01514,1.80036,7.04568,0.61701,1.36023,2.64833,0.007558,0.007558,0.007558
39,604.781,0.99608,5.78166,0.4252,0.58689,1.14883,0.77118,0.74656,0.81549,0.42772,0.25344,0.15823,0.09808,0.01976,1.71815,6.96649,0.70925,1.28528,2.52785,0.007492,0.007492,0.007492
40,619.887,0.98516,5.65208,0.42509,0.58028,1.14581,0.8228,0.7347,0.80177,0.38964,0.24417,0.17722,0.07424,0.01365,1.90776,7.11016,0.77266,1.08157,2.65862,0.007426,0.007426,0.007426
